,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
1546,23139,3,3,60.0,01:24.6,186.407,Ricciardo,Finished,2016,Hungarian Grand Prix,Red Bull
1547,23141,4,5,40.0,01:24.7,186.234,Verstappen,Finished,2016,Hungarian Grand Prix,Red Bull
1548,23160,3,2,48.0,01:18.4,209.918,Ricciardo,Finished,2016,German Grand Prix,Red Bull
1549,23161,4,3,47.0,01:18.9,208.673,Verstappen,Finished,2016,German Grand Prix,Red Bull
1550,23182,5,2,11.0,01:52.5,224.205,Ricciardo,Finished,2016,Belgian Grand Prix,Red Bull
1551,23191,2,11,32.0,01:53.3,222.582,Verstappen,Finished,2016,Belgian Grand Prix,Red Bull
1552,23207,6,5,52.0,01:25.9,242.726,Ricciardo,Finished,2016,Italian Grand Prix,Red Bull
1553,23209,7,7,50.0,01:26.4,241.361,Verstappen,Finished,2016,Italian Grand Prix,Red Bull
1554,23226,2,2,49.0,01:47.2,170.113,Ricciardo,Finished,2016,Singapore Grand Prix,Red Bull
1555,23230,4,6,46.0,01:49.1,167.207,Verstappen,Finished,2016,Singapore Grand Prix,Red Bull
1556,23274,4,6,36.0,01:35.5,218.877,Ricciardo,Finished,2016,Japanese Grand Prix,Red Bull
1557,23270,3,2,43.0,01:36.4,216.89,Verstappen,Finished,2016,Japanese Grand Prix,Red Bull
1558,23293,3,3,51.0,01:42.6,193.523,Ricciardo,Finished,2016,United States Grand Prix,Red Bull
1559,23315,4,3,53.0,01:21.1,190.972,Ricciardo,Finished,2016,Mexican Grand Prix,Red Bull
1560,23316,3,4,66.0,01:22.9,186.934,Verstappen,Finished,2016,Mexican Grand Prix,Red Bull
1561,23342,6,8,42.0,01:25.5,181.363,Ricciardo,Finished,2016,Brazilian Grand Prix,Red Bull
1562,23337,4,3,67.0,01:25.3,181.846,Verstappen,Finished,2016,Brazilian Grand Prix,Red Bull
1563,23361,3,5,29.0,01:44.9,190.624,Ricciardo,Finished,2016,Abu Dhabi Grand Prix,Red Bull
1564,23360,6,4,36.0,01:45.2,190.084,Verstappen,Finished,2016,Abu Dhabi Grand Prix,Red Bull
1565,23383,5,5,43.0,01:27.0,219.525,Verstappen,Finished,2017,Australian Grand Prix,Red Bull
1566,23402,5,4,36.0,01:36.8,202.741,Ricciardo,Finished,2017,Chinese Grand Prix,Red Bull
1567,23401,16,3,31.0,01:36.7,202.886,Verstappen,Finished,2017,Chinese Grand Prix,Red Bull
1568,23423,4,5,42.0,01:33.5,208.387,Ricciardo,Finished,2017,Bahrain Grand Prix,Red Bull
1569,23443,7,5,47.0,01:38.4,213.888,Verstappen,Finished,2017,Russian Grand Prix,Red Bull
1570,23461,6,3,40.0,01:23.7,200.248,Ricciardo,Finished,2017,Spanish Grand Prix,Red Bull
1571,23481,5,3,51.0,01:15.8,158.577,Ricciardo,Finished,2017,Monaco Grand Prix,Red Bull
1572,23483,4,5,56.0,01:16.3,157.387,Verstappen,Finished,2017,Monaco Grand Prix,Red Bull
1573,23501,6,3,67.0,01:16.2,206.126,Ricciardo,Finished,2017,Canadian Grand Prix,Red Bull
1574,23519,10,1,46.0,01:44.9,206.048,Ricciardo,Finished,2017,Azerbaijan Grand Prix,Red Bull
